<s>	<s>	Al	-	Zaman	<s>	<s>	PROPN
<s>	Al	-	Zaman	:	<s>	PROPN	PUNCT
Al	-	Zaman	:	American	PROPN	PUNCT	PROPN
-	Zaman	:	American	forces	PUNCT	PROPN	PUNCT
Zaman	:	American	forces	killed	PROPN	PUNCT	ADJ
:	American	forces	killed	Shaikh	PUNCT	ADJ	NOUN
American	forces	killed	Shaikh	Abdullah	ADJ	NOUN	VERB
forces	killed	Shaikh	Abdullah	al	NOUN	VERB	PROPN
killed	Shaikh	Abdullah	al	-	VERB	PROPN	PROPN
Shaikh	Abdullah	al	-	Ani	PROPN	PROPN	PROPN
Abdullah	al	-	Ani	,	PROPN	PROPN	PUNCT
al	-	Ani	,	the	PROPN	PUNCT	PROPN
-	Ani	,	the	preacher	PUNCT	PROPN	PUNCT
Ani	,	the	preacher	at	PROPN	PUNCT	DET
,	the	preacher	at	the	PUNCT	DET	NOUN
the	preacher	at	the	mosque	DET	NOUN	ADP
preacher	at	the	mosque	in	NOUN	ADP	DET
at	the	mosque	in	the	ADP	DET	NOUN
the	mosque	in	the	town	DET	NOUN	ADP
mosque	in	the	town	of	NOUN	ADP	DET
in	the	town	of	Qaim	ADP	DET	NOUN
the	town	of	Qaim	,	DET	NOUN	ADP
town	of	Qaim	,	near	NOUN	ADP	PROPN
of	Qaim	,	near	the	ADP	PROPN	PUNCT
Qaim	,	near	the	Syrian	PROPN	PUNCT	ADP
,	near	the	Syrian	border	PUNCT	ADP	DET
near	the	Syrian	border	.	ADP	DET	ADJ
the	Syrian	border	.	</s>	DET	ADJ	NOUN
Syrian	border	.	</s>	</s>	ADJ	NOUN	PUNCT
<s>	<s>	[	This	killing	<s>	<s>	PUNCT
<s>	[	This	killing	of	<s>	PUNCT	DET
[	This	killing	of	a	PUNCT	DET	NOUN
This	killing	of	a	respected	DET	NOUN	ADP
killing	of	a	respected	cleric	NOUN	ADP	DET
of	a	respected	cleric	will	ADP	DET	ADJ
a	respected	cleric	will	be	DET	ADJ	NOUN
respected	cleric	will	be	causing	ADJ	NOUN	AUX
cleric	will	be	causing	us	NOUN	AUX	AUX
will	be	causing	us	trouble	AUX	AUX	VERB
be	causing	us	trouble	for	AUX	VERB	PRON
causing	us	trouble	for	years	VERB	PRON	NOUN
us	trouble	for	years	to	PRON	NOUN	ADP
trouble	for	years	to	come	NOUN	ADP	NOUN
for	years	to	come	.	ADP	NOUN	PART
years	to	come	.	]	NOUN	PART	VERB
to	come	.	]	</s>	PART	VERB	PUNCT
come	.	]	</s>	</s>	VERB	PUNCT	PUNCT
<s>	<s>	DPA	:	Iraqi	<s>	<s>	PROPN
<s>	DPA	:	Iraqi	authorities	<s>	PROPN	PUNCT
DPA	:	Iraqi	authorities	announced	PROPN	PUNCT	ADJ
:	Iraqi	authorities	announced	that	PUNCT	ADJ	NOUN
Iraqi	authorities	announced	that	they	ADJ	NOUN	VERB
authorities	announced	that	they	had	NOUN	VERB	SCONJ
announced	that	they	had	busted	VERB	SCONJ	PRON
that	they	had	busted	up	SCONJ	PRON	AUX
they	had	busted	up	3	PRON	AUX	VERB
had	busted	up	3	terrorist	AUX	VERB	ADP
busted	up	3	terrorist	cells	VERB	ADP	NUM
up	3	terrorist	cells	operating	ADP	NUM	ADJ
3	terrorist	cells	operating	in	NUM	ADJ	NOUN
terrorist	cells	operating	in	Baghdad	ADJ	NOUN	VERB
cells	operating	in	Baghdad	.	NOUN	VERB	ADP
operating	in	Baghdad	.	</s>	VERB	ADP	PROPN
in	Baghdad	.	</s>	</s>	ADP	PROPN	PUNCT
<s>	<s>	Two	of	them	<s>	<s>	NUM
<s>	Two	of	them	were	<s>	NUM	ADP
Two	of	them	were	being	NUM	ADP	PRON
of	them	were	being	run	ADP	PRON	AUX
them	were	being	run	by	PRON	AUX	AUX
were	being	run	by	2	AUX	AUX	VERB
being	run	by	2	officials	AUX	VERB	ADP
run	by	2	officials	of	VERB	ADP	NUM
by	2	officials	of	the	ADP	NUM	NOUN
2	officials	of	the	Ministry	NUM	NOUN	ADP
officials	of	the	Ministry	of	NOUN	ADP	DET
of	the	Ministry	of	the	ADP	DET	PROPN
the	Ministry	of	the	Interior	DET	PROPN	ADP
Ministry	of	the	Interior	!	PROPN	ADP	DET
of	the	Interior	!	</s>	ADP	DET	PROPN
the	Interior	!	</s>	</s>	DET	PROPN	PUNCT
<s>	<s>	The	MoI	in	<s>	<s>	DET
<s>	The	MoI	in	Iraq	<s>	DET	PROPN
The	MoI	in	Iraq	is	DET	PROPN	ADP
MoI	in	Iraq	is	equivalent	PROPN	ADP	PROPN
in	Iraq	is	equivalent	to	ADP	PROPN	AUX
Iraq	is	equivalent	to	the	PROPN	AUX	ADJ
is	equivalent	to	the	US	AUX	ADJ	ADP
equivalent	to	the	US	FBI	ADJ	ADP	DET
to	the	US	FBI	,	ADP	DET	PROPN
the	US	FBI	,	so	DET	PROPN	PROPN
US	FBI	,	so	this	PROPN	PROPN	PUNCT
FBI	,	so	this	would	PROPN	PUNCT	ADV
,	so	this	would	be	PUNCT	ADV	PRON
so	this	would	be	like	ADV	PRON	AUX
this	would	be	like	having	PRON	AUX	VERB
would	be	like	having	J.	AUX	VERB	SCONJ
be	like	having	J.	Edgar	VERB	SCONJ	VERB
like	having	J.	Edgar	Hoover	SCONJ	VERB	PROPN
having	J.	Edgar	Hoover	unwittingly	VERB	PROPN	PROPN
J.	Edgar	Hoover	unwittingly	employ	PROPN	PROPN	PROPN
Edgar	Hoover	unwittingly	employ	at	PROPN	PROPN	ADV
Hoover	unwittingly	employ	at	a	PROPN	ADV	VERB
unwittingly	employ	at	a	high	ADV	VERB	ADP
employ	at	a	high	level	VERB	ADP	DET
at	a	high	level	members	ADP	DET	ADJ
a	high	level	members	of	DET	ADJ	NOUN
high	level	members	of	the	ADJ	NOUN	NOUN
level	members	of	the	Weathermen	NOUN	NOUN	ADP
members	of	the	Weathermen	bombers	NOUN	ADP	DET
of	the	Weathermen	bombers	back	ADP	DET	PROPN
the	Weathermen	bombers	back	in	DET	PROPN	NOUN
Weathermen	bombers	back	in	the	PROPN	NOUN	ADV
bombers	back	in	the	1960s	NOUN	ADV	ADP
back	in	the	1960s	.	ADV	ADP	DET
in	the	1960s	.	</s>	ADP	DET	NOUN
the	1960s	.	</s>	</s>	DET	NOUN	PUNCT
<s>	<s>	The	third	was	<s>	<s>	DET
<s>	The	third	was	being	<s>	DET	ADJ
The	third	was	being	run	DET	ADJ	AUX
third	was	being	run	by	ADJ	AUX	AUX
was	being	run	by	the	AUX	AUX	VERB
being	run	by	the	head	AUX	VERB	ADP
run	by	the	head	of	VERB	ADP	DET
by	the	head	of	an	ADP	DET	NOUN
the	head	of	an	investment	DET	NOUN	ADP
head	of	an	investment	firm	NOUN	ADP	DET
of	an	investment	firm	.	ADP	DET	NOUN
an	investment	firm	.	</s>	DET	NOUN	NOUN
investment	firm	.	</s>	</s>	NOUN	NOUN	PUNCT
<s>	<s>	You	wonder	if	<s>	<s>	PRON
<s>	You	wonder	if	he	<s>	PRON	VERB
You	wonder	if	he	was	PRON	VERB	SCONJ
wonder	if	he	was	manipulating	VERB	SCONJ	PRON
if	he	was	manipulating	the	SCONJ	PRON	AUX
he	was	manipulating	the	market	PRON	AUX	VERB
was	manipulating	the	market	with	AUX	VERB	DET
manipulating	the	market	with	his	VERB	DET	NOUN
the	market	with	his	bombing	DET	NOUN	ADP
market	with	his	bombing	targets	NOUN	ADP	PRON
with	his	bombing	targets	.	ADP	PRON	NOUN
his	bombing	targets	.	</s>	PRON	NOUN	NOUN
bombing	targets	.	</s>	</s>	NOUN	NOUN	PUNCT
<s>	<s>	The	cells	were	<s>	<s>	DET
<s>	The	cells	were	operating	<s>	DET	NOUN
The	cells	were	operating	in	DET	NOUN	AUX
cells	were	operating	in	the	NOUN	AUX	VERB
were	operating	in	the	Ghazaliyah	AUX	VERB	ADP
operating	in	the	Ghazaliyah	and	VERB	ADP	DET
in	the	Ghazaliyah	and	al	ADP	DET	PROPN
the	Ghazaliyah	and	al	-	DET	PROPN	CCONJ
Ghazaliyah	and	al	-	Jihad	PROPN	CCONJ	PROPN
and	al	-	Jihad	districts	CCONJ	PROPN	PUNCT
al	-	Jihad	districts	of	PROPN	PUNCT	PROPN
-	Jihad	districts	of	the	PUNCT	PROPN	NOUN
Jihad	districts	of	the	capital	PROPN	NOUN	ADP
districts	of	the	capital	.	NOUN	ADP	DET
of	the	capital	.	</s>	ADP	DET	NOUN
the	capital	.	</s>	</s>	DET	NOUN	PUNCT
<s>	<s>	Although	the	announcement	<s>	<s>	SCONJ
<s>	Although	the	announcement	was	<s>	SCONJ	DET
Although	the	announcement	was	probably	SCONJ	DET	NOUN
the	announcement	was	probably	made	DET	NOUN	AUX
announcement	was	probably	made	to	NOUN	AUX	ADV
was	probably	made	to	show	AUX	ADV	VERB
probably	made	to	show	progress	ADV	VERB	PART
made	to	show	progress	in	VERB	PART	VERB
to	show	progress	in	identifying	PART	VERB	NOUN
show	progress	in	identifying	and	VERB	NOUN	SCONJ
progress	in	identifying	and	breaking	NOUN	SCONJ	VERB
in	identifying	and	breaking	up	SCONJ	VERB	CCONJ
identifying	and	breaking	up	terror	VERB	CCONJ	VERB
and	breaking	up	terror	cells	CCONJ	VERB	ADP
breaking	up	terror	cells	,	VERB	ADP	NOUN
up	terror	cells	,	I	ADP	NOUN	NOUN
terror	cells	,	I	do	NOUN	NOUN	PUNCT
cells	,	I	do	n't	NOUN	PUNCT	PRON
,	I	do	n't	find	PUNCT	PRON	AUX
I	do	n't	find	the	PRON	AUX	PART
do	n't	find	the	news	AUX	PART	VERB
n't	find	the	news	that	PART	VERB	DET
find	the	news	that	the	VERB	DET	NOUN
the	news	that	the	Baathists	DET	NOUN	SCONJ
news	that	the	Baathists	continue	NOUN	SCONJ	DET
that	the	Baathists	continue	to	SCONJ	DET	PROPN
the	Baathists	continue	to	penetrate	DET	PROPN	VERB
Baathists	continue	to	penetrate	the	PROPN	VERB	PART
continue	to	penetrate	the	Iraqi	VERB	PART	VERB
to	penetrate	the	Iraqi	government	PART	VERB	DET
penetrate	the	Iraqi	government	very	VERB	DET	ADJ
the	Iraqi	government	very	hopeful	DET	ADJ	NOUN
Iraqi	government	very	hopeful	.	ADJ	NOUN	ADV
government	very	hopeful	.	</s>	NOUN	ADV	ADJ
very	hopeful	.	</s>	</s>	ADV	ADJ	PUNCT
<s>	<s>	It	reminds	me	<s>	<s>	PRON
<s>	It	reminds	me	too	<s>	PRON	VERB
It	reminds	me	too	much	PRON	VERB	PRON
reminds	me	too	much	of	VERB	PRON	ADV
me	too	much	of	the	PRON	ADV	ADV
too	much	of	the	ARVN	ADV	ADV	ADP
much	of	the	ARVN	officers	ADV	ADP	DET
of	the	ARVN	officers	who	ADP	DET	PROPN
the	ARVN	officers	who	were	DET	PROPN	NOUN
ARVN	officers	who	were	secretly	PROPN	NOUN	PRON
officers	who	were	secretly	working	NOUN	PRON	AUX
who	were	secretly	working	for	PRON	AUX	ADV
were	secretly	working	for	the	AUX	ADV	VERB
secretly	working	for	the	other	ADV	VERB	ADP
working	for	the	other	side	VERB	ADP	DET
for	the	other	side	in	ADP	DET	ADJ
the	other	side	in	Vietnam	DET	ADJ	NOUN
other	side	in	Vietnam	.	ADJ	NOUN	ADP
side	in	Vietnam	.	</s>	NOUN	ADP	PROPN
in	Vietnam	.	</s>	</s>	ADP	PROPN	PUNCT
<s>	<s>	Al	-	Zaman	<s>	<s>	PROPN
<s>	Al	-	Zaman	:	<s>	PROPN	PUNCT
Al	-	Zaman	:	Guerrillas	PROPN	PUNCT	PROPN
-	Zaman	:	Guerrillas	killed	PUNCT	PROPN	PUNCT
Zaman	:	Guerrillas	killed	a	PROPN	PUNCT	NOUN
:	Guerrillas	killed	a	member	PUNCT	NOUN	VERB
Guerrillas	killed	a	member	of	NOUN	VERB	DET
killed	a	member	of	the	VERB	DET	NOUN
a	member	of	the	Kurdistan	DET	NOUN	ADP
member	of	the	Kurdistan	Democratic	NOUN	ADP	DET
of	the	Kurdistan	Democratic	Party	ADP	DET	PROPN
the	Kurdistan	Democratic	Party	after	DET	PROPN	PROPN
Kurdistan	Democratic	Party	after	kidnapping	PROPN	PROPN	PROPN
Democratic	Party	after	kidnapping	him	PROPN	PROPN	SCONJ
Party	after	kidnapping	him	in	PROPN	SCONJ	VERB
after	kidnapping	him	in	Mosul	SCONJ	VERB	PRON
kidnapping	him	in	Mosul	.	VERB	PRON	ADP
him	in	Mosul	.	</s>	PRON	ADP	PROPN
in	Mosul	.	</s>	</s>	ADP	PROPN	PUNCT
<s>	<s>	The	police	commander	<s>	<s>	DET
<s>	The	police	commander	of	<s>	DET	NOUN
The	police	commander	of	Ninevah	DET	NOUN	NOUN
police	commander	of	Ninevah	Province	NOUN	NOUN	ADP
commander	of	Ninevah	Province	announced	NOUN	ADP	PROPN
of	Ninevah	Province	announced	that	ADP	PROPN	PROPN
Ninevah	Province	announced	that	bombings	PROPN	PROPN	VERB
Province	announced	that	bombings	had	PROPN	VERB	SCONJ
announced	that	bombings	had	declined	VERB	SCONJ	NOUN
that	bombings	had	declined	80	SCONJ	NOUN	AUX
bombings	had	declined	80	percent	NOUN	AUX	VERB
had	declined	80	percent	in	AUX	VERB	NUM
declined	80	percent	in	Mosul	VERB	NUM	NOUN
80	percent	in	Mosul	,	NUM	NOUN	ADP
percent	in	Mosul	,	whereas	NOUN	ADP	PROPN
in	Mosul	,	whereas	there	ADP	PROPN	PUNCT
Mosul	,	whereas	there	had	PROPN	PUNCT	SCONJ
,	whereas	there	had	been	PUNCT	SCONJ	PRON
whereas	there	had	been	a	SCONJ	PRON	AUX
there	had	been	a	big	PRON	AUX	VERB
had	been	a	big	jump	AUX	VERB	DET
been	a	big	jump	in	VERB	DET	ADJ
a	big	jump	in	the	DET	ADJ	NOUN
big	jump	in	the	number	ADJ	NOUN	ADP
jump	in	the	number	of	NOUN	ADP	DET
in	the	number	of	kidnappings	ADP	DET	NOUN
the	number	of	kidnappings	.	DET	NOUN	ADP
number	of	kidnappings	.	</s>	NOUN	ADP	NOUN
of	kidnappings	.	</s>	</s>	ADP	NOUN	PUNCT
<s>	<s>	On	Wednesday	guerrillas	<s>	<s>	ADP
<s>	On	Wednesday	guerrillas	had	<s>	ADP	PROPN
On	Wednesday	guerrillas	had	kidnapped	ADP	PROPN	NOUN
Wednesday	guerrillas	had	kidnapped	a	PROPN	NOUN	AUX
guerrillas	had	kidnapped	a	cosmetic	NOUN	AUX	VERB
had	kidnapped	a	cosmetic	surgeon	AUX	VERB	DET
kidnapped	a	cosmetic	surgeon	and	VERB	DET	ADJ
a	cosmetic	surgeon	and	his	DET	ADJ	NOUN
cosmetic	surgeon	and	his	wife	ADJ	NOUN	CCONJ
surgeon	and	his	wife	while	NOUN	CCONJ	PRON
and	his	wife	while	they	CCONJ	PRON	NOUN
his	wife	while	they	were	PRON	NOUN	SCONJ
wife	while	they	were	on	NOUN	SCONJ	PRON
while	they	were	on	their	SCONJ	PRON	AUX
they	were	on	their	way	PRON	AUX	ADP
were	on	their	way	home	AUX	ADP	PRON
on	their	way	home	.	ADP	PRON	NOUN
their	way	home	.	</s>	PRON	NOUN	ADV
way	home	.	</s>	</s>	NOUN	ADV	PUNCT
<s>	<s>	In	Suwayrah	,	<s>	<s>	ADP
<s>	In	Suwayrah	,	Kut	<s>	ADP	PROPN
In	Suwayrah	,	Kut	Province	ADP	PROPN	PUNCT
Suwayrah	,	Kut	Province	,	PROPN	PUNCT	PROPN
,	Kut	Province	,	two	PUNCT	PROPN	PROPN
Kut	Province	,	two	car	PROPN	PROPN	PUNCT
Province	,	two	car	bombs	PROPN	PUNCT	NUM
,	two	car	bombs	were	PUNCT	NUM	NOUN
two	car	bombs	were	discovered	NUM	NOUN	NOUN
car	bombs	were	discovered	before	NOUN	NOUN	AUX
bombs	were	discovered	before	they	NOUN	AUX	VERB
were	discovered	before	they	could	AUX	VERB	SCONJ
discovered	before	they	could	be	VERB	SCONJ	PRON
before	they	could	be	detonated	SCONJ	PRON	AUX
they	could	be	detonated	.	PRON	AUX	AUX
could	be	detonated	.	</s>	AUX	AUX	VERB
be	detonated	.	</s>	</s>	AUX	VERB	PUNCT
<s>	<s>	(	Kut	is	<s>	<s>	PUNCT
<s>	(	Kut	is	in	<s>	PUNCT	PROPN
(	Kut	is	in	southeastern	PUNCT	PROPN	AUX
Kut	is	in	southeastern	Iraq	PROPN	AUX	ADP
is	in	southeastern	Iraq	and	AUX	ADP	ADJ
in	southeastern	Iraq	and	has	ADP	ADJ	PROPN
southeastern	Iraq	and	has	an	ADJ	PROPN	CCONJ
Iraq	and	has	an	overwhelmingly	PROPN	CCONJ	VERB
and	has	an	overwhelmingly	Shiite	CCONJ	VERB	DET
has	an	overwhelmingly	Shiite	population	VERB	DET	ADV
an	overwhelmingly	Shiite	population	,	DET	ADV	ADJ
overwhelmingly	Shiite	population	,	who	ADV	ADJ	NOUN
Shiite	population	,	who	are	ADJ	NOUN	PUNCT
population	,	who	are	on	NOUN	PUNCT	PRON
,	who	are	on	the	PUNCT	PRON	AUX
who	are	on	the	lookout	PRON	AUX	ADP
are	on	the	lookout	for	AUX	ADP	DET
on	the	lookout	for	Baathist	ADP	DET	NOUN
the	lookout	for	Baathist	saboteurs	DET	NOUN	ADP
lookout	for	Baathist	saboteurs	and	NOUN	ADP	PROPN
for	Baathist	saboteurs	and	willingly	ADP	PROPN	NOUN
Baathist	saboteurs	and	willingly	turn	PROPN	NOUN	CCONJ
saboteurs	and	willingly	turn	them	NOUN	CCONJ	ADV
and	willingly	turn	them	in	CCONJ	ADV	VERB
willingly	turn	them	in	.	ADV	VERB	PRON
turn	them	in	.	</s>	VERB	PRON	ADP
them	in	.	</s>	</s>	PRON	ADP	PUNCT
<s>	<s>	This	willingness	is	<s>	<s>	DET
<s>	This	willingness	is	the	<s>	DET	NOUN
This	willingness	is	the	main	DET	NOUN	AUX
willingness	is	the	main	difference	NOUN	AUX	DET
is	the	main	difference	in	AUX	DET	ADJ
the	main	difference	in	the	DET	ADJ	NOUN
main	difference	in	the	number	ADJ	NOUN	ADP
difference	in	the	number	of	NOUN	ADP	DET
in	the	number	of	bombings	ADP	DET	NOUN
the	number	of	bombings	in	DET	NOUN	ADP
number	of	bombings	in	the	NOUN	ADP	NOUN
of	bombings	in	the	south	ADP	NOUN	ADP
bombings	in	the	south	as	NOUN	ADP	DET
in	the	south	as	opposed	ADP	DET	NOUN
the	south	as	opposed	to	DET	NOUN	SCONJ
south	as	opposed	to	the	NOUN	SCONJ	VERB
as	opposed	to	the	center	SCONJ	VERB	ADP
opposed	to	the	center	-	VERB	ADP	DET
to	the	center	-	north	ADP	DET	NOUN
the	center	-	north	of	DET	NOUN	PUNCT
center	-	north	of	the	NOUN	PUNCT	NOUN
-	north	of	the	country	PUNCT	NOUN	ADP
north	of	the	country	.	NOUN	ADP	DET
of	the	country	.	)	ADP	DET	NOUN
the	country	.	)	</s>	DET	NOUN	PUNCT
country	.	)	</s>	</s>	NOUN	PUNCT	PUNCT
<s>	<s>	In	Baghdad	Kadhim	<s>	<s>	ADP
<s>	In	Baghdad	Kadhim	Talal	<s>	ADP	PROPN
In	Baghdad	Kadhim	Talal	Husain	ADP	PROPN	PROPN
Baghdad	Kadhim	Talal	Husain	,	PROPN	PROPN	PROPN
Kadhim	Talal	Husain	,	assistant	PROPN	PROPN	PROPN
Talal	Husain	,	assistant	dean	PROPN	PROPN	PUNCT
Husain	,	assistant	dean	at	PROPN	PUNCT	ADJ
,	assistant	dean	at	the	PUNCT	ADJ	NOUN
assistant	dean	at	the	School	ADJ	NOUN	ADP
dean	at	the	School	of	NOUN	ADP	DET
at	the	School	of	Education	ADP	DET	PROPN
the	School	of	Education	at	DET	PROPN	ADP
School	of	Education	at	Mustansiriyah	PROPN	ADP	PROPN
of	Education	at	Mustansiriyah	University	ADP	PROPN	ADP
Education	at	Mustansiriyah	University	,	PROPN	ADP	PROPN
at	Mustansiriyah	University	,	was	ADP	PROPN	PROPN
Mustansiriyah	University	,	was	assassinated	PROPN	PROPN	PUNCT
University	,	was	assassinated	with	PROPN	PUNCT	AUX
,	was	assassinated	with	his	PUNCT	AUX	VERB
was	assassinated	with	his	driver	AUX	VERB	ADP
assassinated	with	his	driver	in	VERB	ADP	PRON
with	his	driver	in	the	ADP	PRON	NOUN
his	driver	in	the	Salikh	PRON	NOUN	ADP
driver	in	the	Salikh	district	NOUN	ADP	DET
in	the	Salikh	district	.	ADP	DET	PROPN
the	Salikh	district	.	</s>	DET	PROPN	NOUN
Salikh	district	.	</s>	</s>	PROPN	NOUN	PUNCT
<s>	<s>	Guerrillas	killed	an	<s>	<s>	NOUN
<s>	Guerrillas	killed	an	engineer	<s>	NOUN	VERB
Guerrillas	killed	an	engineer	,	NOUN	VERB	DET
killed	an	engineer	,	Asi	VERB	DET	NOUN
an	engineer	,	Asi	Ali	DET	NOUN	PUNCT
engineer	,	Asi	Ali	,	NOUN	PUNCT	PROPN
,	Asi	Ali	,	from	PUNCT	PROPN	PROPN
Asi	Ali	,	from	Tikrit	PROPN	PROPN	PUNCT
Ali	,	from	Tikrit	.	PROPN	PUNCT	ADP
,	from	Tikrit	.	</s>	PUNCT	ADP	PROPN
from	Tikrit	.	</s>	</s>	ADP	PROPN	PUNCT
<s>	<s>	They	also	killed	<s>	<s>	PRON
<s>	They	also	killed	Shaikh	<s>	PRON	ADV
They	also	killed	Shaikh	Hamid	PRON	ADV	VERB
also	killed	Shaikh	Hamid	'Akkab	ADV	VERB	PROPN
killed	Shaikh	Hamid	'Akkab	,	VERB	PROPN	PROPN
Shaikh	Hamid	'Akkab	,	a	PROPN	PROPN	PROPN
Hamid	'Akkab	,	a	clan	PROPN	PROPN	PUNCT
'Akkab	,	a	clan	elder	PROPN	PUNCT	DET
,	a	clan	elder	of	PUNCT	DET	NOUN
a	clan	elder	of	a	DET	NOUN	NOUN
clan	elder	of	a	branch	NOUN	NOUN	ADP
elder	of	a	branch	of	NOUN	ADP	DET
of	a	branch	of	the	ADP	DET	NOUN
a	branch	of	the	Dulaim	DET	NOUN	ADP
branch	of	the	Dulaim	tribe	NOUN	ADP	DET
of	the	Dulaim	tribe	in	ADP	DET	PROPN
the	Dulaim	tribe	in	Tikrit	DET	PROPN	NOUN
Dulaim	tribe	in	Tikrit	.	PROPN	NOUN	ADP
tribe	in	Tikrit	.	</s>	NOUN	ADP	PROPN
